Periodo,Seguro_medico,Visitas_medico,Sum,Tasa_crec_segmed,Tasa_crec_visitmed,Tasa_crec_sum,Renta,Luz,Agua,Gas,Telefono,Sum,Tasa_crec_Rent,Tasa_crec_Luz,Tasa_crec_Agua,Tasa_crec_Gas,Tasa_crec_Telefono,Tasa_crec_sum,Alimentos y bebidas,Tasa_crec_alim,Servicios_esparcimiento,Articulos_no_indispensables,Viajes,SUM,Tasa_crec_serv,Tasa_crec_art,Tasa_crec_viaj,Tasa_crec_sum,Colegiaturas,Materiales escolares,SUM,Tasa_crec_coleg,Tasa_crec_mater,Tasa_crec_sum,Ahorro,Credito,SUM,Tasa_crec_ahor,Tasa_crec_cred,Tasa_crec_sum
2018-01-01,750,1000,1750,,,,13550,353.54,193.54,423.54,500,15020.620000000003,,,,,,,18324.54,,1250,753.45,4023.0,6026.45,,,,,0,1003.43,1003.43,,,,0.0,6737.36,6737.36,,,
2018-01-02,750,800,1550,0.0,-19.999999999999996,-11.428571428571432,13550,354.66,194.43,134.54,500,14733.630000000001,0.0,0.31679583639758757,0.4598532603079519,-68.23440525097983,0.0,-1.910640173308431,17340.64,-5.369302585494651,1250,425.64,3954.0,5629.639999999999,0.0,-43.50786382639858,-1.7151379567486913,-6.58447344622457,5000,1043.54,6043.54,inf,3.9972892977088614,502.2881516398752,4702.55,5057.16,9759.71,inf,-24.938551598845837,44.85955923388389
2018-01-03,750,800,1550,0.0,0.0,0.0,13550,368.35,194.43,630.54,500,15243.32,0.0,3.860034963063219,0.0,368.66359447004606,0.0,3.459364732248593,17535.7,1.12487197704354,1250,536.56,3843.0,5629.5599999999995,0.0,26.059580866459918,-2.8072837632776904,-0.001421050013850067,5000,1043.54,6043.54,0.0,0.0,0.0,3997.88,5057.16,9055.04,-14.984848645947412,0.0,-7.22019404265084
2018-01-04,450,800,1250,-40.0,0.0,-19.354838709677423,13550,327.27,194.43,406.46,500,14978.16,0.0,-11.152436541332978,0.0,-35.53779300282298,0.0,-1.7395160634297469,17535.76,0.0003421591382002376,1250,357.24,3843.0,5450.24,0.0,-33.42030714179215,0.0,-3.1853288711728767,5000,1533.54,6533.54,0.0,46.95555512965483,8.107830840864793,4252.3,5080.24,9332.54,6.363872852611885,0.45638263373117827,3.064591652825377
2018-01-05,500,950,1450,11.111111111111116,18.75,15.999999999999993,13550,396.86,197.24,375.0,500,15019.1,0.0,21.26378830934703,1.445250218587657,-7.739999015893318,0.0,0.2733313037115437,16265.75,-7.242400671542026,1250,246.64,4023.0,5519.639999999999,0.0,-30.959578994513492,4.683840749414525,1.2733384217942678,5000,1954.65,6954.65,0.0,27.459994522477405,6.445357340737168,4790.86,5076.39,9867.25,12.665145921030962,-0.07578382123678562,5.729522723717229
2018-01-06,750,850,1600,50.0,-10.526315789473683,10.344827586206895,13550,374.77,197.24,932.54,500,15554.55,0.0,-5.566194627828458,0.0,148.67733333333334,0.0,3.5651270715289174,15747.53,-3.18595822510489,1250,247.57,3943.0,5440.57,0.0,0.37706779111255084,-1.9885657469550067,-1.4325209615119738,0,0.0,0.0,-100.0,-100.0,-100.0,11657.35,5057.16,16714.510000000002,143.32478928626594,-0.3788125025855127,69.39380273125747
2018-01-07,635,980,1615,-15.333333333333332,15.294117647058814,0.9374999999999911,13550,374.97,194.43,264.74,500,14884.14,0.0,0.053366064519577705,-1.4246603123098778,-71.61086923885303,0.0,-4.310057185839511,16537.65,5.0174217797965825,1250,185.86,3836.0,5271.860000000001,0.0,-24.926283475380696,-2.7136697945726596,-3.100961847747552,0,4024.64,4024.64,,inf,inf,7666.71,5066.01,12732.720000000001,-34.23282306870773,0.17499940678167292,-23.82235554616917
2018-01-08,435,750,1185,-31.496062992125985,-23.469387755102044,-26.62538699690402,13550,304.27,197.24,264.47,500,14815.98,0.0,-18.854841720671,1.445250218587657,-0.10198685502756932,0.0,-0.4579371062083504,16930.5,2.375488657699232,1250,286.43,3953.0,5489.43,0.0,54.11062089744969,3.0500521376433776,4.12700640760566,5000,943.64,5943.64,inf,-76.55343086586626,47.681283294903395,5635.45,5081.39,10716.84,-26.49454590039274,0.3035919786972485,-15.832280926620557
2018-01-09,500,740,1240,14.942528735632177,-1.3333333333333308,4.641350210970474,13550,351.35,197.24,800.42,500,15399.01,0.0,15.47309954974201,0.0,202.65058418724234,0.0,3.935143001002972,19412.54,14.66016951655298,1250,175.64,4286.0,5711.639999999999,0.0,-38.67960758300458,8.423981785985335,4.047961263737743,5000,1023.65,6023.65,0.0,8.478869060234828,1.346144786696346,2213.16,5076.39,7289.55,-60.727892182523135,-0.09839827291351355,-31.98041586885686
2018-01-10,750,730,1480,50.0,-1.3513513513513487,19.354838709677423,13550,317.842,192.45,427.09,500,14987.382000000001,0.0,-9.536928988188432,-2.428513486108308,-46.64176307438594,0.0,-2.673080931826133,18043.65,-7.051575940088206,1250,1459.87,3875.0,6584.87,0.0,731.1717148713278,-9.589360709286044,15.28860362347768,5000,1294.65,6294.65,0.0,26.473892443706347,4.498933370962788,2609.448,5057.16,7666.608,17.905980588841295,-0.3788125025855127,5.172582669712122
2018-01-11,750,100,850,0.0,-86.3013698630137,-42.567567567567565,13550,395.98,192.45,524.76,500,15163.19,0.0,24.583912761686634,0.0,22.86871619564963,0.0,1.1730400946609487,19436.76,7.720777115494903,1250,164.76,4265.0,5679.76,0.0,-88.71406358100378,10.064516129032253,-13.745297932988798,5000,1034.65,6034.65,0.0,-20.0826478198741,-4.1304917668178565,2835.64,5057.16,7892.799999999999,8.66819342634917,0.0,2.9503530113969445
